file_id,meta,left,node,right,freq,ttr,entropy,section
W_JPN_SMK_A2_0_111,JPN,and the financial condition of,the Japanese government,will improve . As for,10,0.783,0.947,top
W_JPN_SMK_A2_0_112,JPN,person 's health . So,the Japanese government,is beginning to prohibit smoking,10,0.783,0.947,top
W_ENS_SMK_XX2_10,ENS,", then full kudos to",the Japanese government,and all of those who,10,0.783,0.947,top
W_ENS_SMK_XX3_54,ENS,", without any assistance from",the Japanese government,", whether they wish to",10,0.783,0.947,top
W_ENS_SMK_XX3_19,ENS,", then I think that",the Japanese government,should enforce the bans with,10,0.783,0.947,top
W_ENS_SMK_XX2_11,ENS,"safe environment for all ,",the Japanese government,needs to introduce and police,10,0.783,0.947,top
W_JPN_SMK_B1_1_144,JPN,"In these years ,",the Japanese government,has recommended politics which smokers,10,0.783,0.947,top
W_JPN_PTJ_B1_2_40,JPN,". First , it is",a good opportunity,for us to know our,4,0.783,0.947,top
W_JPN_PTJ_B1_2_03,JPN,a part time job is,a good opportunity,to get new friends .,4,0.783,0.947,top
W_JPN_PTJ_B1_2_13,JPN,". First , it is",a good opportunity,to think how to work,4,0.783,0.947,top
W_JPN_PTJ_A2_0_051,JPN,do part time job is,a good opportunity,of experiencing communities . By,4,0.783,0.947,top
W_ENS_SMK_XX3_18,ENS,"in so long yet ,",a large portion,of the rest of the,3,0.783,0.947,top
W_ENS_SMK_XX1_071,ENS,efficiently . I think that,a large portion,of any restaurants clientele base,3,0.783,0.947,top
W_ENS_PTJ_XX3_02,ENS,just wanting to graduate now,a large portion,of students are all striving,3,0.783,0.947,top
W_ENS_SMK_XX2_11,ENS,. In order to create,a safe environment,"for all , the Japanese",3,0.783,0.947,top
W_ENS_SMK_XX3_29,ENS,a right to work in,a safe environment,", which includes a smoke",3,0.783,0.947,top
W_ENS_SMK_XX1_079,ENS,must have the right to,a safe environment,in which to enjoy a,3,0.783,0.947,top
W_ENS_PTJ_XX3_30,ENS,. While it may require,some additional dedication,"and time management skills ,",1,0.783,0.947,random
W_JPN_SMK_B1_1_142,JPN,unconsciously . So restaurants have,a great responsibility,to defend non smokers .,1,0.783,0.947,random
W_JPN_SMK_B1_1_169,JPN,"In fact , there is",a close connection,between lung cancer and smoking,1,0.783,0.947,random
W_ENS_SMK_XX1_051,ENS,would venture to say that,an overwhelming majority,of people think that smoking,1,0.783,0.947,random
W_JPN_SMK_B1_1_056,JPN,do ? I think that,the recent regulation,is overrun . I do,1,0.783,0.947,random
W_ENS_PTJ_XX3_16,ENS,to make a broad or,all expansive judgment,that will hold true for,1,0.783,0.947,random
W_ENS_SMK_XX1_090,ENS,employee exposure to smoke .,A simple solution,to this problem would be,1,0.783,0.947,random
W_JPN_PTJ_A2_0_114,JPN,I think that it is,a important opportunity,for us to learn what,1,0.783,0.947,random
W_ENS_SMK_XX2_43,ENS,remedies are far from being,the ideal solution,". In my mind ,",1,0.783,0.947,random
W_ENS_PTJ_XX1_016,ENS,were not able to experience,the wonderful diversity,of personalities and backgrounds that,1,0.783,0.947,random
W_ENS_SMK_XX3_29,ENS,. Even if there was,a separate section,"for smoking customers , workers",1,0.783,0.947,random
W_JPN_PTJ_B1_1_083,JPN,becomes a good practice and,a useful information,for choosing a job .,1,0.783,0.947,random
W_ENS_PTJ_XX1_034,ENS,it may be difficult for,the current generation,of college graduates to find,2,0.783,0.947,random
W_JPN_SMK_B1_1_017,JPN,relax . When they face,a serious situation,", they smoke in order",2,0.783,0.947,random
W_JPN_SMK_A2_0_119,JPN,"a cigarette , you become",a bad condition,and you ca n't become,1,0.783,0.947,random
W_JPN_PTJ_B1_1_112,JPN,I agree with,the first statement,". Before entering collages ,",1,0.783,0.947,random
W_ENS_PTJ_XX1_014,ENS,can get a taste of,the real business,world and get some experience,1,0.783,0.947,random
W_JPN_PTJ_B1_1_160,JPN,no women . Because of,this pessimistic situation,", we should do part",1,0.783,0.947,random
W_ENS_PTJ_XX1_014,ENS,a part time job is,an appropriate investment,of their time . For,1,0.783,0.947,random
W_ENS_SMK_XX3_32,ENS,the risk of suffering from,an allergic reaction,. Because of all these,1,0.783,0.947,random
W_ENS_PTJ_XX3_26,ENS,time jobs or not .,The ideal situation,would be for students to,1,0.783,0.947,random
W_ENS_PTJ_XX1_018,ENS,feel that having worked in,a real situation,can help me to gain,1,0.783,0.947,random
W_ENS_PTJ_XX2_37,ENS,. Printing money is not,a viable solution,because the market can only,1,0.783,0.947,random
W_ENS_SMK_XX3_40,ENS,display strong leadership and give,a clear indication,to the people that smoking,1,0.783,0.947,random
W_ENS_SMK_XX3_31,ENS,the right to choose under,a democratic government,. I do concede that,2,0.783,0.947,random
W_JPN_SMK_B1_1_150,JPN,"smoking seat . So ,",the beat solution,is to prohibit smoking at,1,0.783,0.947,random
W_ENS_SMK_XX3_52,ENS,Japan is known to have,a large population,of heavy smokers . I,2,0.783,0.947,random
W_ENS_SMK_XX2_06,ENS,in restaurants and each and,every public facility,"across Japan , to take",1,0.783,0.947,random
W_ENS_PTJ_XX2_29,ENS,n't think that this is,a valid argument,if students follow the lead,1,0.783,0.947,random
W_ENS_SMK_XX2_17,ENS,", I do not see",a good solution,to this problem . Large,2,0.783,0.947,random
W_ENS_SMK_XX2_23,ENS,of health costs . With,the national government,( Japan ) bearing the,1,0.783,0.947,random
W_ENS_PTJ_XX1_058,ENS,overall part time work is,a great addition,to any student 's curriculum,1,0.783,0.947,random
W_ENS_SMK_XX3_55,ENS,I am not sure about,the Japanese constitution,and I know that there,1,0.783,0.947,random
W_ENS_PTJ_XX3_07,ENS,is to graduate and seek,a lucrative position,in the workforce not about,1,0.783,0.947,random
W_ENS_SMK_XX3_03,ENS,only the Japanese Government has,the legal authority,to introduce such a ban,1,0.783,0.947,random
W_ENS_PTJ_XX1_082,ENS,better understand and appreciate what,a good education,costs these days . Many,1,0.783,0.947,random
W_ENS_SMK_XX3_32,ENS,cigarette smoke and would have,a bad reaction,if they were to be,1,0.783,0.947,random
W_JPN_SMK_B1_1_144,JPN,in a new light .,That present condition,teaches us an importance to,1,0.783,0.947,random
W_JPN_PTJ_A2_0_145,JPN,"me about the management ,",a social situation,", their experience and so",1,0.783,0.947,random
W_ENS_SMK_XX1_090,ENS,associated risk and both require,a specific qualification,on the part of the,1,0.783,0.947,random
W_JPN_PTJ_B1_1_107,JPN,that . If it was,a trivial experiment,", we study something advantageous",1,0.783,0.947,random
W_JPN_SMK_B1_1_099,JPN,at all restaurants . Now,the economical situation,of Japan is very danger,1,0.783,0.947,random
W_ENS_SMK_XX2_22,ENS,risk should be taken by,any civilized nation,. Japan is by and,1,0.783,0.947,random
W_ENS_PTJ_XX1_100,ENS,"drudgery , by interfering with",the ceaseless cogitation,that is a student 's,1,0.783,0.947,random
W_ENS_PTJ_XX1_089,ENS,of full time employment in,the same organization,upon graduation . For these,1,0.783,0.947,random
W_JPN_PTJ_B1_1_034,JPN,employee . If he has,a good ability,"for his job , this",1,0.783,0.947,random
W_ENS_SMK_XX3_41,ENS,I fail to understand how,any responsible government,could allow this to continue,1,0.783,0.947,random
W_ENS_SMK_XX1_036,ENS,", and it would be",an interesting experiment,for any smoker to save,1,0.783,0.947,random
W_JPN_SMK_A2_0_122,JPN,be allowed to smoke at,the public situation,", for example restaurants ,",1,0.783,0.947,random
W_ENS_PTJ_XX1_096,ENS,"in Japan , I believe",a large majority,of students study and major,2,0.783,0.947,random
W_JPN_SMK_A2_0_065,JPN,", heart trouble , and",the cerebral infarction,"medically . Second , this",1,0.783,0.947,random
W_ENS_SMK_XX1_046,ENS,the time when America finds,a good solution,on this issue as a,2,0.783,0.947,random
W_JPN_SMK_A2_0_148,JPN,I am opposite to,the complete prohibition,of smoking at a restaurant,2,0.783,0.947,random
W_ENS_PTJ_XX3_28,ENS,and waiting to take up,a new position,"with an IT company ,",1,0.783,0.947,random
W_JPN_PTJ_A2_0_044,JPN,college students have lived in,the limited relation,of people that is called,1,0.783,0.947,random
W_ENS_SMK_XX2_42,ENS,"question here is , whether",any democratic government,can just ban anything on,1,0.783,0.947,random
W_ENS_PTJ_XX1_070,ENS,will be able to enjoy,that good position,for many years to come,1,0.783,0.947,random
W_ENS_SMK_XX1_028,ENS,would thus appear to be,a temporary condition,", because as time goes",1,0.783,0.947,random
W_ENS_SMK_XX1_034,ENS,be indoors . I think,the real solution,would be for smokers to,1,0.783,0.947,random
W_ENS_SMK_XX2_23,ENS,be accused of contributing to,the non-voluntary addiction,to nicotine of their non-smoking,1,0.783,0.947,random
W_ENS_PTJ_XX2_32,ENS,of college as opposed to,the harsh reality,of the often cruel and,1,0.783,0.947,random
W_ENS_SMK_XX2_20,ENS,Being able to work in,a healthy environment,is a basic right .,1,0.783,0.947,random
W_ENS_SMK_XX1_063,ENS,be doing a favor to,the current generation,as well as to the,2,0.783,0.947,random
W_JPN_PTJ_B2_0_03,JPN,is that they can grow,a respectable recognition,towards money . Through working,1,0.783,0.947,random
W_ENS_SMK_XX2_21,ENS,people who smoke and create,a dangerous environment,simply because they feel they,1,0.783,0.947,random
W_JPN_SMK_A2_0_032,JPN,"disease , lung cancer or",some serious illness,. Of course people who,1,0.783,0.947,random
W_ENS_SMK_XX2_28,ENS,are thousands of restaurants in,every large city,"in Japan , catering to",1,0.783,0.947,random
W_JPN_SMK_B2_0_05,JPN,smoker such as sidewalks in,a big city,or platform at station during,1,0.783,0.947,random
W_JPN_SMK_B1_1_165,JPN,to provide other people with,the comfortable environment,. We never annoy someone,1,0.783,0.947,random
W_ENS_SMK_XX1_100,ENS,the crockery has never enjoyed,a single moment,of pleasure in her entire,1,0.783,0.947,random
W_ENS_SMK_XX2_36,ENS,sneeze uncontrollably . Others have,a similar reaction,". Second , cigarettes are",1,0.783,0.947,random
W_ENS_SMK_XX3_47,ENS,This has already been,a welcome introduction,in many parts of the,1,0.783,0.947,random
W_ENS_PTJ_XX3_22,ENS,sales work he does at,the local department,"store , prompting him to",1,0.783,0.947,random
W_ENS_PTJ_XX1_013,ENS,a part time job is,a good option,for a student . I,1,0.783,0.947,random
W_ENS_SMK_XX3_08,ENS,backlash because Japan does have,a large population,and many of them are,2,0.783,0.947,random
W_JPN_SMK_A2_0_119,JPN,and you ca n't become,a healthy condition,. Those effects affect not,1,0.783,0.947,random
W_ENS_SMK_XX2_30,ENS,", so what right does",an individual establishment,have to rewrite the rules,1,0.783,0.947,random
W_ENS_SMK_XX2_35,ENS,non-smokers and smokers who prefer,a clean environment,while eating . The solution,1,0.783,0.947,random
W_JPN_PTJ_B1_1_151,JPN,person . Finally we make,a new relation,to make us better and,1,0.783,0.947,random
W_ENS_SMK_XX2_28,ENS,"smokers , or alternatively provides",a non-smoking environment,. It is a basic,1,0.783,0.947,random
W_JPN_SMK_B1_1_135,JPN,. How we can solve,that simple question,"? Now , there are",1,0.783,0.947,random
W_JPN_SMK_B1_1_024,JPN,and children are unconsciously in,the same situation,that they smoke . Tobacco,1,0.783,0.947,random
W_JPN_SMK_B1_1_087,JPN,problems . If government impose,some severe punishment,"on smokers , the number",1,0.783,0.947,random
W_JPN_SMK_B1_1_106,JPN,smoking causes many cancers or,any other sickness,. It is said that,1,0.783,0.947,random
W_ENS_PTJ_XX2_05,ENS,Part - time employment is,a valuable investment,of time for a student,2,0.783,0.947,random
W_ENS_SMK_XX1_075,ENS,show that there will be,a direct improvement,in the health of the,1,0.783,0.947,random
W_JPN_PTJ_B1_1_018,JPN,", they must jump into",a new community,. At college they often,1,0.783,0.947,random
W_ENS_PTJ_XX1_070,ENS,absolutely essential and is in,a prudent preparation,for the future .,1,0.783,0.947,random
W_ENS_PTJ_XX3_39,ENS,"desire , it still presents",a financial opportunity,that can be turned to,1,0.783,0.947,random
W_JPN_SMK_B1_1_103,JPN,restaurant . If it is,a high quality,"restaurant , most of customers",1,0.783,0.947,random
W_ENS_SMK_XX1_039,ENS,smokes releases harmful chemicals into,the immediate vicinity,and is therefore endangering the,1,0.783,0.947,random
W_ENS_SMK_XX1_075,ENS,improvement in the health of,the average population,". Also , many of",1,0.783,0.947,random
W_JPN_PTJ_B1_2_49,JPN,. Part time job is,a great opportunity,to experience to a lo,2,0.783,0.947,random
W_ENS_PTJ_XX3_17,ENS,part - time job is,the perfect opportunity,for this . A part,1,0.783,0.947,random
W_ENS_SMK_XX2_06,ENS,to take effect immediately .,The Japanese Government,should also brook no argument,1,0.783,0.947,random
W_ENS_PTJ_XX3_55,ENS,- time job gives them,the perfect introduction,as to what life will,1,0.783,0.947,random
W_ENS_SMK_XX3_03,ENS,exercise in futility to open,a private business,that is owned privately but,1,0.783,0.947,random
W_ENS_SMK_XX1_097,ENS,Many small insurance brokers serving,the commercial business,community would suffer from lower,1,0.783,0.947,random
W_ENS_SMK_XX1_001,ENS,called democracy and Japan has,a democratic government,do n't they ? I,2,0.783,0.947,random
W_ENS_PTJ_XX2_31,ENS,the saying goes . Given,the right preparation,", all students should be",1,0.783,0.947,random
W_ENS_PTJ_XX3_06,ENS,all students because it is,a brief introduction,of what full - time,1,0.783,0.947,random
W_ENS_PTJ_XX2_30,ENS,"more about budgeting , take",some financial responsibility,and basically improve or should,1,0.783,0.947,random
W_ENS_SMK_XX1_084,ENS,is both a pleasure and,a necessary activity,for many people . Why,1,0.783,0.947,random
W_ENS_SMK_XX1_090,ENS,to achieve this end without,the complete prohibition,of smoking at Japanese restaurants,2,0.783,0.947,random
W_ENS_PTJ_XX1_097,ENS,part time jobs could be,an obvious distraction,in their daily studies .,1,0.783,0.947,random
W_ENS_SMK_XX3_21,ENS,history and is additionally quite,a large business,", so it would also",1,0.783,0.947,random
W_ENS_SMK_XX3_04,ENS,government rather than that of,a democratic entity,. Not being familiar with,1,0.783,0.947,random
W_ENS_SMK_XX2_08,ENS,"After all , it is",a private arrangement,between the customers and the,1,0.783,0.947,random
W_ENS_PTJ_XX1_095,ENS,forms of exhaustion interferes with,the academic ability,and ultimately the success of,1,0.783,0.947,random
W_ENS_PTJ_XX1_074,ENS,be more able to find,a good position,than are students who did,1,0.783,0.947,random
W_ENS_SMK_XX1_016,ENS,will have any effect on,the Japanese situation,", but I do think",1,0.783,0.947,random
W_ENS_PTJ_XX1_097,ENS,allows students an opportunity for,an incomplete education,.,1,0.783,0.947,random
W_ENS_PTJ_XX1_070,ENS,to find some work in,a large corporation,", I think it will",1,0.783,0.947,random
W_ENS_PTJ_XX2_07,ENS,"equally dissolute friends , and",an obsessive devotion,to online fleshpots promising sexual,1,0.783,0.947,random
W_ENS_SMK_XX2_19,ENS,restaurants in Japan far outweigh,any temporary dissatisfaction,that may be felt by,1,0.783,0.947,random
W_JPN_PTJ_B1_1_003,JPN,". Now in Japan ,",the economic situation,is not good . And,1,0.783,0.947,random
W_JPN_SMK_A2_0_058,JPN,one sided and it is,a fair solution,", I think . In",1,0.783,0.947,random
W_ENS_SMK_XX1_099,ENS,to go to and so,the restaurant business,and culture will be affected,1,0.783,0.947,random
W_JPN_SMK_B1_1_159,JPN,street . Smokers are against,this new regulation,. But many no smokers,1,0.783,0.947,random
W_ENS_PTJ_XX2_23,ENS,more important than an acquiring,a formal education,". As such , they",1,0.783,0.947,random
W_ENS_PTJ_XX1_070,ENS,the ever increasing demands of,the modern business,world . We learn in,1,0.783,0.947,random
W_JPN_PTJ_B1_1_165,JPN,a part time job is,a reasonable selection,for college students who want,1,0.783,0.947,random
W_ENS_SMK_XX1_005,ENS,they could attempt to make,a strong argument,opposing the bans and would,1,0.783,0.947,random
W_ENS_SMK_XX1_080,ENS,where smoking is allowed create,a toxic environment,"for their customers , as",1,0.783,0.947,random
W_ENS_SMK_XX1_054,ENS,not have to work in,a dirty environment,". As a cook ,",1,0.783,0.947,random
W_JPN_SMK_B1_1_091,JPN,front of . There is,a similar situation,around us which is as,1,0.783,0.947,random
W_ENS_PTJ_XX1_068,ENS,", part time work is",a valuable investment,"of their time , but",2,0.783,0.947,random
W_JPN_PTJ_B1_1_163,JPN,are the younger generation and,the middle generation,and the older generation in,1,0.783,0.947,random
W_ENS_PTJ_XX3_48,ENS,disagree . I think that,a large majority,of students want to work,2,0.783,0.947,random
W_ENS_SMK_XX2_18,ENS,"habit , but it has",a long tradition,and it has become quite,1,0.783,0.947,random
W_ENS_PTJ_XX3_22,ENS,learn to appreciate more fully,any financial compensation,they may receive from their,1,0.783,0.947,random
W_ENS_PTJ_XX1_089,ENS,tour guides at weekends .,The current employment,market for graduates is very,1,0.783,0.947,random
W_JPN_SMK_A2_0_111,JPN,the income will increase and,the financial condition,of the Japanese government will,1,0.783,0.947,random
W_ENS_PTJ_XX3_27,ENS,", in order to gain",some practical appreciation,of the difficulty of earning,1,0.783,0.947,random
W_JPN_SMK_B1_1_165,JPN,to eat the dinner at,a good environment,for having meals . Exactly,1,0.783,0.947,random
W_ENS_PTJ_XX3_39,ENS,"the right guidance , learn",some basic investment,strategies . I suppose that,1,0.783,0.947,random
W_ENS_PTJ_XX3_37,ENS,loads of people down at,the local employment,centre every week day now,1,0.783,0.947,random
W_JPN_SMK_A2_0_046,JPN,. In Japan . is,an excessive enforcement,.,1,0.783,0.947,random
W_JPN_SMK_B1_1_161,JPN,n't make the restaurant have,a good reputation,. Then smoking should not,1,0.783,0.947,random
W_ENS_SMK_XX1_063,ENS,generation as well as to,the next generation,"of citizens , and that",1,0.783,0.947,random
W_ENS_PTJ_XX1_094,ENS,takes on a heavy load,the true determination,of a students boils down,1,0.783,0.947,random
W_ENS_SMK_XX3_28,ENS,do not need to fear,any lost business,: while they may lose,1,0.783,0.947,random
W_ENS_PTJ_XX3_38,ENS,financial futures . It is,a great opportunity,"indeed , if they learn",2,0.783,0.947,random
W_JPN_SMK_B1_2_22,JPN,possibly becomes a cause of,a serious situation,. That 's why I,2,0.783,0.947,random
W_ENS_PTJ_XX2_11,ENS,"In summary , school is",a wonderful opportunity,for one to build their,1,0.783,0.947,random
W_ENS_SMK_XX2_18,ENS,and it has become quite,the big business,in many countries of the,1,0.783,0.947,random
W_ENS_SMK_XX1_073,ENS,to smokers to give them,a good motivation,an opportunity to quit smoking,1,0.783,0.947,random
W_JPN_PTJ_B1_2_41,JPN,? I think it 's,the good opportunity,to touch our society before,1,0.783,0.947,random
W_ENS_PTJ_XX1_038,ENS,'re setting yourself up for,a successful portion,for a large part of,1,0.783,0.947,random
W_ENS_SMK_XX2_41,ENS,of all non-smoking people and,the immediate environment,as well . Time and,1,0.783,0.947,random
W_ENS_PTJ_XX1_035,ENS,"developed , and IT is",a big business,"these days , so I",1,0.783,0.947,random
W_JPN_PTJ_B1_2_22,JPN,high class car or rent,an expensive apartment,", but most of them",1,0.783,0.947,random
